"","SITEID","ARCX","ARCY","BINHAB","HABITAT","RIV.DIST.M","CONF.DIST.M","KOP.DIST.M","ROAD.DIST.M","AVG.TREE.10","PER.TREE.COV","lion.encount.dry","lion.encount.wet"
"41","E11",701950,9713636,"plains","grassland",1284.9375,1712.241501,10218.65193,515,1500,5342,0.126819973964444,0.093569989339851
"42","E12",701630,9711358,"plains","grassland",640.8266201,823.6120301,9015.024518,3100.069819,717.7,5380,0.126819973964444,0.093569989339851
"43","E13",701081,9709356,"plains","grassland",569.6187904,906.1422753,6939.990098,1117.013082,429.8,5097,0.126819973964444,0.093569989339851
"44","F01",704126,9736104,"plains","grassland",124.8850362,89.71603951,4432.428236,1834.949079,5.9,8099,0.034743770341731,0
"45","F02",704082,9733751,"plains","grassland",1441.418372,2035.970104,2960.227288,1935.513934,9.8,7463,0.576378590760039,0.026799636469744
"46","F03",703989,9731585,"plains","grassland",480.4075013,1290.036575,2132.842332,86.13979099,11.3,6290,0.598763032023668,1.33990406376101
"47","F04",703969,9729264,"plains","grassland",894.350666,864.956059,932.7160043,832.3614457,5.5,6915,0.640888685056264,0.026799636469744
"48","F05",703733,9727175,"plains","grassland",1950.014851,2342.21127,2267.655946,415.761561,487,6296,1.12705167146118,0.026799636469744
"49","F06",703996,9724910,"plains","grassland",193.6802961,1443.194431,4280.768203,35.52314204,72.4,6464,0.800659723689242,0.683768424963934
"50","F07",703175,9721622,"plains","grassland",50.80122185,3570.494267,4196.580971,68.64957981,51.2,6256,0.742147451941716,0.124856428617984
"51","F08",703689,9720350,"plains","grassland",171.1942533,4239.463101,5311.787682,25,166.6,6106,0.082363073589067,0.124856428617984
"52","F09",703954,9718339,"plains","grassland",190.0165371,5118.046327,6550.111592,261.091976,92.8,6118,0.077129772243794,0.124856428617984
"53","F10",703200,9716426,"plains","grassland",2099.389905,4576.945619,8047.044562,2202.806302,1377.1,5723,0.059978632325438,0.124856428617984
"54","F11",704485,9713979,"plains","grassland",2476.396879,2892.845331,8934.633763,3602.488407,602.1,5633,0.1439711138828,0.093569989339851
"55","F12",703914,9711090,"plains","grassland",30.73633555,1713.990081,7512.050607,3160.210415,302.9,5948,0.126819973964444,0.093569989339851
"56","F13",703934,9709178,"plains","grassland",1710.5282,2351.830457,6006.710815,1255.99841,1500,4866,0.126819973964444,0.093569989339851
"57","G01",706102,9736053,"plains","grassland",1141.912196,1446.057336,2639.878297,3240.311599,6.3,6444,0.034743770341731,0
"58","G02",706134,9733844,"plains","grassland",257.1025004,768.1529216,2203.697292,1077.708871,10.3,10509,0.034743770341731,0
"59","G03",706155,9731640,"plains","grassland",837.32526,1977.285977,2.358660585,40,3.6,5314,0.544850973996651,1.33990406376101
"60","G04",706134,9729292,"plains","grassland",1380.457874,1340.533208,956.3427337,500.6107288,19.2,5788,0.576378590760039,0.026799636469744
"61","G05",706047,9727177,"plains","grassland",1362.680623,1489.383235,2131.820844,170.6951446,37.2,5940,0.802219499675613,0.026799636469744
"62","G06",706219,9724968,"plains","grassland",793.0975367,1443.871456,3407.150453,683.3496001,1500,7576,0.746747665662225,1.366241518857
"63","G07",706141,9722824,"plains","grassland",388.1082097,1307.556035,3023.773709,302.9175386,961.1,5659,0.746747665662225,0.802842719702663
"64","G08",706147,9720338,"plains","grassland",2050.201893,2165.974398,3742.928979,647.9395458,1354.3,5314,0.243693888208416,0.093569989339851
"65","G09",706009,9717812,"plains","grassland",1032.28349,4130.400112,5181.808878,4,1500,4979,0.327686369765778,0.124109742495138
"66","G11",705980,9713728,"plains","grassland",1671.883991,2440.539522,8154.31306,2808.687457,1500,5166,0.1439711138828,0.124109742495138
"67","G12",706579,9711696,"plains","grassland",0.023576058,1038.226866,6995.92707,3077.474576,1239.5,5390,0.101845460850204,0.124109742495138
"68","G13",706272,9708820,"plains","grassland",527.0746321,1509.315722,4367.469412,1204.657577,1500,4607,0.101845460850204,0.030539753155287
"69","H01",708572,9736024,"plains","grassland",1925.103105,1825.134543,19,3382.891814,10,5675,0.026984654984138,0
"70","H02",708420,9733771,"plains","grassland",1469.058542,1369.931205,664.187221,1596.477035,14,6227,0.034743770341731,0
"71","H03",708382,9731609,"plains","grassland",22.98711423,281.5443078,1947.02828,20,5.5,7515,0.716071466545405,0
"72","H04",708540,9729326,"plains","grassland",1603.876537,1163.602167,2605.682854,523.4044409,79.9,5166,0.716071466545405,0
"73","H05",708409,9727081,"plains","grassland",1335.368958,1631.01309,2770.506693,379.5391486,176.8,6079,0.899786722428383,0
"74","H06",708629,9724638,"plains","grassland",938.7220889,1697.444059,1511.859089,847.6031286,1373.8,4203,0.228552890159958,0.709272730362812
"75","H07",708336,9722786,"plains","grassland",852.241477,1016.280105,875.4647779,524.6546856,233.7,4700,0.228552890159958,0.802842719702663
"76","H08",708658,9720643,"plains","grassland",128.445719,584.1220641,1325.413872,20,1350.6,4942,0.218719375094176,0.802842719702663
"77","H09",708544,9718042,"plains","grassland",2260.765642,2352.485981,3191.607433,1464.399651,1500,5762,0.285560716733182,0.124109742495138
"78","H10",708438,9715769,"plains","grassland",3657.602196,4357.831407,5118.48572,237.5638499,1500,4272,0.101845460850204,0.124109742495138
"79","H11",708342,9713816,"plains","grassland",1945.769463,3159.754703,6946.396855,611.5402582,250.6,4983,0.101845460850204,0.124109742495138
