"","bin_val","Start","End","bin","Var2","Freq","Var1.1","Var2.1","Freq.1"
"67",29,2011-03-22,2011-04-06,"ndvi.29","gazelleThomsons",44,"29","1",10
"68",29,2011-03-22,2011-04-06,"ndvi.29","zebra",282,"29","1",10
"69",29,2011-03-22,2011-04-06,"ndvi.29","wildebeest",133,"29","0",601
"70",29,2011-03-22,2011-04-06,"ndvi.29","topi",10,"29","1",10
"71",29,2011-03-22,2011-04-06,"ndvi.29","hartebeest",46,"29","0",601
"72",29,2011-03-22,2011-04-06,"ndvi.29","buffalo",96,"29","0",601
"73",30,2011-04-07,2011-04-22,"ndvi.30","hartebeest",50,"30","0",439
"74",30,2011-04-07,2011-04-22,"ndvi.30","zebra",155,"30","1",8
"75",30,2011-04-07,2011-04-22,"ndvi.30","topi",58,"30","1",8
"76",30,2011-04-07,2011-04-22,"ndvi.30","gazelleThomsons",37,"30","1",8
"77",30,2011-04-07,2011-04-22,"ndvi.30","wildebeest",75,"30","0",439
"78",30,2011-04-07,2011-04-22,"ndvi.30","buffalo",72,"30","0",439
"79",31,2011-04-23,2011-05-08,"ndvi.31","gazelleThomsons",137,"31","1",5
"80",31,2011-04-23,2011-05-08,"ndvi.31","buffalo",68,"31","0",550
"81",31,2011-04-23,2011-05-08,"ndvi.31","zebra",130,"31","1",5
"82",31,2011-04-23,2011-05-08,"ndvi.31","hartebeest",64,"31","0",550
"83",31,2011-04-23,2011-05-08,"ndvi.31","wildebeest",136,"31","0",550
"84",31,2011-04-23,2011-05-08,"ndvi.31","topi",20,"31","1",5
"85",32,2011-05-09,2011-05-24,"ndvi.32","gazelleThomsons",183,"32","1",74
"86",32,2011-05-09,2011-05-24,"ndvi.32","zebra",710,"32","1",74
"87",32,2011-05-09,2011-05-24,"ndvi.32","hartebeest",40,"32","0",2060
"88",32,2011-05-09,2011-05-24,"ndvi.32","buffalo",69,"32","0",2060
"89",32,2011-05-09,2011-05-24,"ndvi.32","wildebeest",1118,"32","0",2060
"90",32,2011-05-09,2011-05-24,"ndvi.32","topi",14,"32","1",74
"91",33,2011-05-25,2011-06-09,"ndvi.33","hartebeest",132,"33","0",1388
"92",33,2011-05-25,2011-06-09,"ndvi.33","wildebeest",98,"33","0",1388
"93",33,2011-05-25,2011-06-09,"ndvi.33","topi",27,"33","1",17
"94",33,2011-05-25,2011-06-09,"ndvi.33","buffalo",32,"33","0",1388
"95",33,2011-05-25,2011-06-09,"ndvi.33","zebra",427,"33","1",17
"96",33,2011-05-25,2011-06-09,"ndvi.33","gazelleThomsons",689,"33","1",17
"97",34,2011-06-10,2011-06-25,"ndvi.34","hartebeest",73,"34","0",830
"98",34,2011-06-10,2011-06-25,"ndvi.34","topi",15,"34","1",4
"99",34,2011-06-10,2011-06-25,"ndvi.34","zebra",83,"34","1",4
"100",34,2011-06-10,2011-06-25,"ndvi.34","wildebeest",32,"34","0",830
"101",34,2011-06-10,2011-06-25,"ndvi.34","gazelleThomsons",610,"34","1",4
"102",34,2011-06-10,2011-06-25,"ndvi.34","buffalo",21,"34","0",830
"103",35,2011-06-26,2011-07-11,"ndvi.35","topi",16,"35","1",21
"104",35,2011-06-26,2011-07-11,"ndvi.35","gazelleThomsons",369,"35","1",21
"105",35,2011-06-26,2011-07-11,"ndvi.35","hartebeest",48,"35","0",1272
"106",35,2011-06-26,2011-07-11,"ndvi.35","buffalo",41,"35","0",1272
"107",35,2011-06-26,2011-07-11,"ndvi.35","zebra",518,"35","1",21
"108",35,2011-06-26,2011-07-11,"ndvi.35","wildebeest",301,"35","0",1272
"109",36,2011-07-12,2011-07-27,"ndvi.36","topi",16,"36","1",16
"110",36,2011-07-12,2011-07-27,"ndvi.36","gazelleThomsons",422,"36","1",16
"111",36,2011-07-12,2011-07-27,"ndvi.36","hartebeest",81,"36","0",880
"112",36,2011-07-12,2011-07-27,"ndvi.36","buffalo",23,"36","0",880
"113",36,2011-07-12,2011-07-27,"ndvi.36","zebra",306,"36","1",16
"114",36,2011-07-12,2011-07-27,"ndvi.36","wildebeest",48,"36","0",880
"115",37,2011-07-28,2011-08-12,"ndvi.37","topi",2,"37","1",1
"116",37,2011-07-28,2011-08-12,"ndvi.37","hartebeest",11,"37","0",85
"117",37,2011-07-28,2011-08-12,"ndvi.37","gazelleThomsons",26,"37","1",1
"118",37,2011-07-28,2011-08-12,"ndvi.37","zebra",22,"37","1",1
"119",37,2011-07-28,2011-08-12,"ndvi.37","wildebeest",15,"37","0",85
"120",37,2011-07-28,2011-08-12,"ndvi.37","buffalo",10,"37","0",85
"121",39,2011-08-29,2011-09-13,"ndvi.39","topi",17,"39","1",2
"122",39,2011-08-29,2011-09-13,"ndvi.39","gazelleThomsons",248,"39","1",2
"123",39,2011-08-29,2011-09-13,"ndvi.39","zebra",35,"39","1",2
"124",39,2011-08-29,2011-09-13,"ndvi.39","hartebeest",16,"39","0",330
"125",39,2011-08-29,2011-09-13,"ndvi.39","buffalo",12,"39","0",330
"126",39,2011-08-29,2011-09-13,"ndvi.39","wildebeest",4,"39","0",330
"127",40,2011-09-14,2011-09-29,"ndvi.40","topi",23,"40","1",24
"128",40,2011-09-14,2011-09-29,"ndvi.40","gazelleThomsons",417,"40","1",24
"129",40,2011-09-14,2011-09-29,"ndvi.40","hartebeest",58,"40","0",933
"130",40,2011-09-14,2011-09-29,"ndvi.40","buffalo",44,"40","0",933
"131",40,2011-09-14,2011-09-29,"ndvi.40","zebra",394,"40","1",24
"132",40,2011-09-14,2011-09-29,"ndvi.40","wildebeest",21,"40","0",933
"133",41,2011-09-30,2011-10-15,"ndvi.41","topi",24,"41","1",14
"134",41,2011-09-30,2011-10-15,"ndvi.41","gazelleThomsons",337,"41","1",14
"135",41,2011-09-30,2011-10-15,"ndvi.41","hartebeest",42,"41","0",816
"136",41,2011-09-30,2011-10-15,"ndvi.41","buffalo",62,"41","0",816
"137",41,2011-09-30,2011-10-15,"ndvi.41","zebra",300,"41","1",14
"138",41,2011-09-30,2011-10-15,"ndvi.41","wildebeest",65,"41","0",816
"139",42,2011-10-16,2011-10-31,"ndvi.42","topi",18,"42","1",22
"140",42,2011-10-16,2011-10-31,"ndvi.42","hartebeest",111,"42","0",1132
"141",42,2011-10-16,2011-10-31,"ndvi.42","gazelleThomsons",486,"42","1",22
"142",42,2011-10-16,2011-10-31,"ndvi.42","zebra",346,"42","1",22
"143",42,2011-10-16,2011-10-31,"ndvi.42","wildebeest",105,"42","0",1132
"144",42,2011-10-16,2011-10-31,"ndvi.42","buffalo",88,"42","0",1132
"145",43,2011-11-01,2011-11-16,"ndvi.43","topi",23,"43","1",126
"146",43,2011-11-01,2011-11-16,"ndvi.43","gazelleThomsons",129,"43","1",126
"147",43,2011-11-01,2011-11-16,"ndvi.43","zebra",1105,"43","1",126
"148",43,2011-11-01,2011-11-16,"ndvi.43","hartebeest",96,"43","0",2809
"149",43,2011-11-01,2011-11-16,"ndvi.43","buffalo",92,"43","0",2809
"150",43,2011-11-01,2011-11-16,"ndvi.43","wildebeest",1490,"43","0",2809
"151",44,2011-11-17,2011-12-02,"ndvi.44","zebra",650,"44","1",43
"152",44,2011-11-17,2011-12-02,"ndvi.44","topi",16,"44","1",43
"153",44,2011-11-17,2011-12-02,"ndvi.44","hartebeest",67,"44","0",1652
"154",44,2011-11-17,2011-12-02,"ndvi.44","wildebeest",865,"44","0",1652
"155",44,2011-11-17,2011-12-02,"ndvi.44","gazelleThomsons",20,"44","1",43
"156",44,2011-11-17,2011-12-02,"ndvi.44","buffalo",77,"44","0",1652
"157",45,2011-12-03,2011-12-18,"ndvi.45","gazelleThomsons",8,"45","1",4
"158",45,2011-12-03,2011-12-18,"ndvi.45","zebra",59,"45","1",4
"159",45,2011-12-03,2011-12-18,"ndvi.45","hartebeest",54,"45","0",233
